query_name|query_sql|query_description
_RQ_COPY_PKM_KPI_102|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; INSERT INTO RES_PKM_KPI_102 SELECT * FROM KPI_102_S_PKM; |Requ&ecirc;te qui copie le r&eacute;sultat obtenu via la RQ [KPI_102_S_PKM] dan la table de sauvegarde du r&eacute;sultat [RES_PKM_KPI_102]
~sq_cFM_InitDB~sq_ccbxGroupUO|SELECT GROUP_UO FROM TAB_GROUPUO; |A DEFINIR
~sq_cFM_InitDB~sq_ccbxUOcode|SELECT UO_code FROM TAB_ListOfUO; |A DEFINIR
~sq_cFM_InitDB~sq_cModifiable9|SELECT UO_code FROM TAB_ListOfUO; |A DEFINIR
~sq_fMyQueryDefs|SELECT DISTINCTROW * FROM MyQueryDefs; |A DEFINIR
KPI_001_PLUS_TF1_TF2|SELECT [RQ_TF1_TF2_13months_NB_TF1].period, [RQ_TF1_TF2_13months_NB_TF1].TF1, [RQ_TF1_TF2_13months_NB_TF2].TF2 FROM RQ_TF1_TF2_13months_NB_TF1 INNER JOIN RQ_TF1_TF2_13months_NB_TF2 ON [RQ_TF1_TF2_13months_NB_TF1].period=[RQ_TF1_TF2_13months_NB_TF2].period; |Requ&ecirc;te KPI qui consolide le nombre de TF1 par p&eacute;riode et le nombre de TF2 par p&eacute;riode dans la m&ecirc;me vue [KPI_001_PLUS_TF1_TF2]
KPI_002_PLUS_APG_EPG|SELECT [RQ_LAst13Months].period, [RQ_APG_EPG_13months_NB_APG].APG, [RQ_APG_EPG_13months_NB_EPG].EPG FROM (RQ_LAst13Months LEFT JOIN RQ_APG_EPG_13months_NB_EPG ON RQ_last13months.period =RQ_APG_EPG_13months_NB_EPG.period) LEFT JOIN RQ_APG_EPG_13months_NB_APG ON [RQ_APG_EPG_13months_NB_APG].period=[RQ_last13months].period; |Requ&ecirc;te KPI qui consolide le nombre de EPG par p&eacute;riode et le nombre de APG par p&eacute;riode dans la m&ecirc;me vue [KPI_001_PLUS_APG_EPG]
KPI_003_PLUS_AAA|SELECT RQ_Last13Months.period, AAA_Sanofi, AAA_Ext, AAA_Sanofi_YTD, AAA_TargetSanofi FROM (((RQ_Last13Months LEFT JOIN RQ_AAA_Last13Months_Sanofi ON RQ_Last13Months.period = RQ_AAA_Last13Months_Sanofi.period) LEFT JOIN RQ_AAA_Last13Months_NotSanofi ON RQ_Last13Months.period = RQ_AAA_Last13Months_NotSanofi.period) LEFT JOIN RQ_AAA_Last13Months_YTD ON RQ_Last13Months.period = RQ_AAA_Last13Months_YTD.period) LEFT JOIN RQ_AAA_Last13Months_TargetSanofi ON RQ_Last13Months.period = RQ_AAA_Last13Months_TargetSanofi.period; |Requ&ecirc;te KPI qui consolidepour chaque p&eacute;riode, le nombre de AAA pour le personnel SANOFI, le nombre de AAA pour le personnel externe, le nombre de AAA en YTD ainsi que la cible par p&eacute;riode, dans une m&ecirc;me vue [KPI_003_PLUS_AAA]
KPI_004_PLUS_PSI|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; SELECT period, count(PR_ID) AS NbPSI FROM RQ_Last13Months LEFT JOIN RQ_PREPA_PSI ON (RQ_Last13Months.Startdate <= RQ_PREPA_PSI.Startdate) AND (RQ_Last13Months.Enddate > RQ_PREPA_PSI.Startdate) GROUP BY period; |Requ&ecirc;te KPI qui calcule le nombre de PSI par p&eacute;riode qui v&eacute;rifie la {startdate du PSI est sup&eacute;rieure ou &eacute;gale &agrave; la date de d&eacute;but de la p&eacute;riode et inf&eacute;rieure strictement &agrave; la date de la fin de la p&eacute;riode} --- sachant que la fin de la p&eacute;riode correspond au premier jour de la p&eacute;riode suivante
KPI_005_PLUS_AAA|TRANSFORM Sum(RQ_PREPA_TYPO_ACCIDENT_AAA_ASA.quantity) AS SommeDeQuantity SELECT RQ_PREPA_TYPO_ACCIDENT_AAA_ASA.TypoAccident FROM RQ_PREPA_TYPO_ACCIDENT_AAA_ASA GROUP BY RQ_PREPA_TYPO_ACCIDENT_AAA_ASA.TypoAccident PIVOT RQ_PREPA_TYPO_ACCIDENT_AAA_ASA.Contrat; |Requ&ecirc;te KPI qui d&eacute;termine la matrice &agrave; 2 entr&eacute;es : Contrat et Type d'accident, et calcule le nombre de AAA par contrat et par type d'accident
KPI_006_PLUS_AAA|SELECT TabUO_PLUS.UO_name AS UO, AAA FROM TabUO_PLUS LEFT JOIN RQ_AAA_last13months_UO ON TabUO_PLUS.UO_name = RQ_AAA_last13months_UO.UO; |Requ&ecirc;te qui donne la r&eacute;partition du nombre de AAA, par UO sur les les 13 derniers mois
KPI_008_PLUS_H2O|SELECT RQ_Last13Months.period, sum([Legacy_H2O].quantity) AS ConsoH2O FROM RQ_Last13Months LEFT JOIN Legacy_H2O ON ([Legacy_H2O].date_measurement<RQ_Last13Months.enddate) AND ([Legacy_H2O].date_measurement>=RQ_Last13Months.startdate) GROUP BY RQ_Last13Months.period; |Requ&ecirc;te qui calcule la quantit&eacute; d'eau consomm&eacute; par p&eacute;riode selon {Date de mesure est sup&eacute;rieure ou &eacute;gale au d&eacute;but de la p&eacute;riode et Date de mesure est inf&eacute;rieure strictement &agrave; la fin de la p&eacute;riode}
KPI_012_PLUS_VMS|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; SELECT period, sum(NB_VMS) AS NbVMS, sum(VMS_Cumul) AS CumulatedVMS, sum(TargetCumul) AS CumulatedTarget FROM RQ_PREPA_VMS GROUP BY period; |Requ&ecirc;te qui calcule, par &eacute;riode sur les 13 derniers mois, le nombre de VMS sur la p&eacute;riode, le cumul du nombre de VMS depuis le d&eacute;but de l'ann&eacute;e, le cumul des Targets depuis le d&eacute;but de l'ann&eacute;e
KPI_013_PLUS_VMS|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; SELECT TABUO_PLUS.Uo_name AS UO, RQ_VMS_CumulperUO.VMS_Cumul FROM TabUO_PLUS LEFT JOIN RQ_VMS_CumulperUO ON TABUO_PLUS.Uo_name = RQ_VMS_CumulperUO.UO; |Requ&ecirc;te qui donne le nombre de VMS par UO
KPI_015_PLUS_PASS|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; SELECT T1.period, T2.ClosedPASS, T3.PASStoClose, T4.ClosedPASS_YTD, T5.PASStoClose_YTD FROM (((RQ_CurrentYear AS T1 LEFT JOIN RQ_PASS_ClosedPASS_CurrentYear AS T2 ON T1.period = T2.period) LEFT JOIN RQ_PASS_PASStoClose_CurrentYear AS T3 ON T1.period = T3.period) LEFT JOIN RQ_PASS_CumulClosed_CurrentYear AS T4 ON T1.period = T4.period) LEFT JOIN RQ_PASS_CumulTarget_CurrentYear AS T5 ON T1.period = T5.period; |Requ&ecirc;te qui consolide dans une m&ecirc;me vue [KPI_015_PLUS_PASS] les r&eacute;sultats, par p&eacute;riode sur les 13 derniers mois, le nombre de PASS clos, le nombre de PASS &agrave; clore, le cumul du nombre de PASS clos depuis le d&eacute;but de l'ann&eacute;e, le cumul du nombre de PASS &agrave; clore depuis le d&eacute;but de l'ann&eacute;e
KPI_019_Q_ANO|SELECT [RQ_ANO_13months_CREATED].period, [RQ_ANO_13months_CREATED].Created, ([RQ_ANO_13months_CLOSED].Closed*-1) AS Closed, [RQ_ANO_13months_INPROGRESS].InProgress FROM (RQ_ANO_13months_CREATED INNER JOIN RQ_ANO_13months_CLOSED ON [RQ_ANO_13months_CREATED].period=[RQ_ANO_13months_CLOSED].period) INNER JOIN RQ_ANO_13months_INPROGRESS ON [RQ_ANO_13months_CLOSED].period=[RQ_ANO_13months_INPROGRESS].period; |Requ&ecirc;te qui consolide dans une m&ecirc;me vue [KPI_019_Q_ANO], par p&eacute;riode sur les 13 derniers mois, le nombre d'ANO cr&eacute;&eacute;es, le nombre d'ANO closes et le nombre d'ANO en cours. le nombre d'ANO closes est pass&eacute; en n&eacute;gatif pour faciliter la visualisation.
KPI_019_Q_OOS|SELECT [RQ_OOS_13months_CREATED].period, [RQ_OOS_13months_CREATED].Created, ([RQ_OOS_13months_CLOSED].Closed*-1) AS Closed, [RQ_OOS_13months_INPROGRESS].InProgress FROM (RQ_OOS_13months_CREATED INNER JOIN RQ_OOS_13months_CLOSED ON [RQ_OOS_13months_CREATED].period=[RQ_OOS_13months_CLOSED].period) INNER JOIN RQ_OOS_13months_INPROGRESS ON [RQ_OOS_13months_CLOSED].period=[RQ_OOS_13months_INPROGRESS].period; |Requ&ecirc;te qui consolide dans une m&ecirc;me vue [KPI_019_Q_OOS], par p&eacute;riode sur les 13 derniers mois, le nombre d'OOS & OOT cr&eacute;&eacute;es, le nombre d'OOS & OOT closes et le nombre d'OOS & OOT en cours. le nombre d'OOS & OOT closes est pass&eacute; en n&eacute;gatif pour faciliter la visualisation.
KPI_020_Q_ANO_MEDIAN|SELECT RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY.period, RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY.target, RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY.critical AS Critical, RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY.major AS Major, RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY.minor AS Minor FROM RQ_ANO_CALCUL_MEDIAN_by_CRITICALITY; |Requ&ecirc;te qui s&eacute;lectionne dans la requ&ecirc;te [RQ_ANO_CALCUL_MEDIAN] par p&eacute;riode (sur les 13 derniers mois), les informations suivantes : la cible &agrave; respecter, le temps m&eacute;dian pour les ANO Critiques, le temps m&eacute;dian pour la ANO Majeures, le temps m&eacute;dian pour les ANO mineures
KPI_020_Q_ANO_SAMPLE|SELECT RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.period, RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.critical AS Critical, RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.major AS Major, RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.minor AS Minor FROM RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY; |Requ&ecirc;te qui s&eacute;lectionne dans la requ&ecirc;te [RQ_ANO_MEDIAN_SAMPLE_SIZE_by_CRITICALITY] par p&eacute;riode (sur les 13 derniers mois), les informations suivantes : la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour les ANO Critiques, la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour la ANO Majeures, la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour les ANO mineures
KPI_020_Q_OOS_MEDIAN|SELECT RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.period, RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.target, RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.critical AS Critical, RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.major AS Major, RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.minor AS Minor, RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY.[NotClassif] AS NotClassif FROM RQ_OOS_CALCUL_MEDIAN_by_CRITICALITY; |Requ&ecirc;te qui s&eacute;lectionne dans la requ&ecirc;te [RQ_OOS_CALCUL_MEDIAN] par p&eacute;riode (sur les 13 derniers mois), les informations suivantes : la cible &agrave; respecter, le temps m&eacute;dian pour les OOS & OOT Critiques, le temps m&eacute;dian pour la OOS & OOT Majeures, le temps m&eacute;dian pour les OOS & OOT mineures, le temps m&eacute;dian pour les OOS & OOT non classifi&eacute;es
KPI_020_Q_OOS_SAMPLE|SELECT RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.period, RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.critical AS Critical, RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.major AS Major, RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.minor AS Minor, RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY.[NotClassif] AS NotClassif FROM RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY; |Requ&ecirc;te qui s&eacute;lectionne dans la requ&ecirc;te [RQ_OOS_MEDIAN_SAMPLE_SIZE_by_CRITICALITY] par p&eacute;riode (sur les 13 derniers mois), les informations suivantes : la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour les OOS & OOT Critiques, la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour la OOS & OOT Majeures, la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour les OOS & OOT mineures, la taille de l'&eacute;chantillon utilis&eacute; pour le calul du temps m&eacute;dian pour les OOS & OOT non classifi&eacute;es.
KPI_021_Q_ANO|SELECT [RQ_ANO_13months_ExpectedClosure].period, [RQ_ANO_13months_ExpectedClosure].ExpectedClosure, [RQ_ANO_13months_CLOSED].Closed AS Closed, [RQ_ANO_13months_ClosedOnTime].ClosedOnTime AS ClosedOnTime, ROUND([RQ_ANO_13months_ExpectedClosure].ExpectedClosure*0.65) AS [Target(%ofExpectedClosure)] FROM (RQ_ANO_13months_ExpectedClosure INNER JOIN RQ_ANO_13months_CLOSED ON [RQ_ANO_13months_ExpectedClosure].period=[RQ_ANO_13months_CLOSED].period) INNER JOIN RQ_ANO_13months_ClosedOnTime ON [RQ_ANO_13months_ExpectedClosure].period=[RQ_ANO_13months_ClosedOnTime].period; |Requ&ecirc;te qui consolide par p&eacute;riode (sur les 13 derniers mois) le nombre d'ANO &agrave; clore, le nombre d'ANO closes, le nombre d'ANO closes &agrave; temps, la cible de clôture &agrave; respecter par mois {selon la formule = 65% du mombre d'ANO &agrave; clore}
KPI_021_Q_OOS|SELECT [RQ_OOS_13months_ExpectedClosure].period, [RQ_OOS_13months_ExpectedClosure].ExpectedClosure, [RQ_OOS_13months_CLOSED].Closed AS Closed, [RQ_OOS_13months_ClosedOnTime].ClosedOnTime AS ClosedOnTime, ROUND([RQ_OOS_13months_ExpectedClosure].ExpectedClosure*0.65) AS [Target(%ofExpectedClosure)] FROM (RQ_OOS_13months_ExpectedClosure INNER JOIN RQ_OOS_13months_CLOSED ON [RQ_OOS_13months_ExpectedClosure].period=[RQ_OOS_13months_CLOSED].period) LEFT JOIN RQ_OOS_13months_ClosedOnTime ON [RQ_OOS_13months_ExpectedClosure].period=[RQ_OOS_13months_ClosedOnTime].period; |Requ&ecirc;te qui consolide par p&eacute;riode (sur les 13 derniers mois) le nombre d'OOS & OOT &agrave; clore, le nombre d'OOS & OOT closes, le nombre d'OOS & OOT closes &agrave; temps, la cible de clôture &agrave; respecter par mois {selon la formule = 65% du mombre d'OOS & OOT &agrave; clore}
KPI_022_Q_ANO|TRANSFORM Count(RQ_ANO_AGE_by_RANGE.Object) AS CompteDeObject SELECT RQ_ANO_AGE_by_RANGE.period FROM RQ_ANO_AGE_by_RANGE GROUP BY RQ_ANO_AGE_by_RANGE.period PIVOT RQ_ANO_AGE_by_RANGE.Tranche_name; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Tranche d'âge} d'analyse de profondeur de l'encours des ANO : Par p&eacute;riode et par Tranche d'âge, on donne le nombre d'ANO par lecture de la requ&ecirc;te [RQ_ANO_AGE_by_RANGE]
KPI_022_Q_OOS|TRANSFORM Count(RQ_OOS_AGE_by_RANGE.Object) AS CompteDeObject SELECT RQ_OOS_AGE_by_RANGE.period FROM RQ_OOS_AGE_by_RANGE GROUP BY RQ_OOS_AGE_by_RANGE.period PIVOT RQ_OOS_AGE_by_RANGE.Tranche_name; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Tranche d'âge} d'analyse de profondeur de l'encours des OOS & OOT : Par p&eacute;riode et par Tranche d'âge, on donne le nombre d'OOS & OOT par lecture de la requ&ecirc;te [RQ_OOS_AGE_by_RANGE]
KPI_023_Q_ANO|TRANSFORM Sum(RQ_ANO_Time_Criticality.[Qty]) AS SommeDeQty SELECT RQ_ANO_Time_Criticality.[period] FROM RQ_ANO_Time_Criticality GROUP BY RQ_ANO_Time_Criticality.[period] PIVOT RQ_ANO_Time_Criticality.[criticality]; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Criticit&eacute;} d'analyse de l'encours des ANO : Par p&eacute;riode et par Criticit&eacute;, on donne le nombre d'ANO par lecture de la requ&ecirc;te [RQ_ANO_Time_Criticality]
KPI_023_Q_OOS|TRANSFORM Sum(RQ_OOS_Time_Criticality.[Qty]) AS SommeDeQty SELECT RQ_OOS_Time_Criticality.[period] FROM RQ_OOS_Time_Criticality GROUP BY RQ_OOS_Time_Criticality.[period] PIVOT RQ_OOS_Time_Criticality.[criticality]; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Criticit&eacute;} d'analyse de l'encours des OOS & OOT : Par p&eacute;riode et par Criticit&eacute;, on donne le nombre d'OOS & OOT par lecture de la requ&ecirc;te [RQ_OOS_Time_Criticality]
KPI_024_Q_ANO|TRANSFORM Sum(RQ_ANO_by_Month_TypoCause.NB_ANO) AS SommeDeNB_ANO SELECT RQ_ANO_by_Month_TypoCause.period FROM RQ_ANO_by_Month_TypoCause GROUP BY RQ_ANO_by_Month_TypoCause.period PIVOT RQ_ANO_by_Month_TypoCause.family_label; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Typologie Cause} d'analyse des ANO : Par p&eacute;riode et par Typologie Cause, on donne le nombre d'ANO par lecture de la requ&ecirc;te [RQ_ANO_by_Month_TypoCause]
KPI_024_Q_OOS|TRANSFORM Sum(RQ_OOS_by_Month_TypoCause.NB_OOS) AS SommeDeNB_OOS SELECT RQ_OOS_by_Month_TypoCause.period FROM RQ_OOS_by_Month_TypoCause GROUP BY RQ_OOS_by_Month_TypoCause.period PIVOT RQ_OOS_by_Month_TypoCause.family_label; |Requ&ecirc;te qui d&eacute;termine la matrice {Periode; Typologie Cause} d'analyse des OOS & OOT : Par p&eacute;riode et par Typologie Cause, on donne le nombre d'OOS & OOT par lecture de la requ&ecirc;te [RQ_OOS_by_Month_TypoCause]
KPI_025_Q_ANO|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; TRANSFORM Sum(RQ_ANO_Age_by_RANGE_CurrentMonth.NbANO) AS SommeDeNbANO SELECT RQ_ANO_Age_by_RANGE_CurrentMonth.UO FROM RQ_ANO_Age_by_RANGE_CurrentMonth WHERE RQ_ANO_Age_by_RANGE_CurrentMonth.UO <> 'NOTHING' GROUP BY RQ_ANO_Age_by_RANGE_CurrentMonth.UO PIVOT RQ_ANO_Age_by_RANGE_CurrentMonth.tranche_name; |Requ&ecirc;te qui d&eacute;termine la matrice {UO; Tranche d'age} d'analyse de l'encours des ANO du mois encours : Par UO et par Tranche d'age, on donne le nombre d'ANO par lecture de la requ&ecirc;te [RQ_ANO_Age by_RANGE_CurrentMonth]
KPI_025_Q_OOS|PARAMETERS [Formulaires]![FM_InitDB]![RefDate] DateTime; TRANSFORM Sum(RQ_OOS_Age_by_RANGE_CurrentMonth.NbOOS) AS SommeDeNbOOS SELECT RQ_OOS_Age_by_RANGE_CurrentMonth.UO FROM RQ_OOS_Age_by_RANGE_CurrentMonth WHERE RQ_OOS_Age_by_RANGE_CurrentMonth.UO <> 'NOTHING' GROUP BY RQ_OOS_Age_by_RANGE_CurrentMonth.UO PIVOT RQ_OOS_Age_by_RANGE_CurrentMonth.tranche_name; |Requ&ecirc;te qui d&eacute;termine la matrice {UO; Tranche d'age} d'analyse de l'encours des OOS & OOT du mois encours : Par UO et par Tranche d'age, on donne le nombre d'OOS & OOT par lecture de la requ&ecirc;te [RQ_OOS_Age by_RANGE_CurrentMonth]
KPI_026_Q_ANO|TRANSFORM Sum(RQ_ANO_Criticality_UO.[Qty]) AS SommeDeQty SELECT RQ_ANO_Criticality_UO.[UO] FROM RQ_ANO_Criticality_UO GROUP BY RQ_ANO_Criticality_UO.[UO] PIVOT RQ_ANO_Criticality_UO.[Criticality]; |Requ&ecirc;te qui d&eacute;termine la matrice {UO; Criticit&eacute;} d'analyse de l'encours des ANO : Par UO et par Criticit&eacute;, on donne le nombre d'ANO par lecture de la requ&ecirc;te [RQ_ANO_Criticality_UO]
KPI_026_Q_OOS|TRANSFORM Sum(RQ_OOS_Criticality_UO.[Qty]) AS SommeDeQty SELECT RQ_OOS_Criticality_UO.[UO] FROM RQ_OOS_Criticality_UO GROUP BY RQ_OOS_Criticality_UO.[UO] PIVOT RQ_OOS_Criticality_UO.[Criticality]; |Requ&ecirc;te qui d&eacute;termine la matrice {UO; Criticit&eacute;} d'analyse de l'encours des OOS & OOT : Par UO et par Criticit&eacute;, on donne le nombre d'OOS & OOT par lecture de la requ&ecirc;te [RQ_OOS_Criticality_UO]
